,SearchNames,Author,NoPapers
379,AU=BAYRAKTAR ASLIHAN,BAYRAKTAR ASLIHAN,12
380,AU=CINCIOGLU ASUMAN,CINCIOGLU ASUMAN,0
381,AU=CELIKBILEK ASUMAN,CELIKBILEK ASUMAN,27
382,AU=TIGLI ASIYE,TIGLI ASIYE,0
383,AU=ARI ATEM,ARI ATEM,0
384,AU=ERKAL ATILA,ERKAL ATILA,0
385,AU=GUNEY ATILLA,GUNEY ATILLA,0
386,AU=ILHAN ATILLA,ILHAN ATILLA,22
387,AU=ICLI ATILLA,ICLI ATILLA,65
388,AU=OZTURK ATIYE,OZTURK ATIYE,4
389,AU=DURMUSOGLU ATIYE,DURMUSOGLU ATIYE,0
390,AU=TOPRAK AYBALA,TOPRAK AYBALA,12
391,AU=GUR AYCAN,GUR AYCAN,13
392,AU=TELLIOGLU AYDA,TELLIOGLU AYDA,4
393,AU=OKAY AYDEMIR,OKAY AYDEMIR,1
394,AU=BORA AYDIN,BORA AYDIN,37
395,AU=DEMIRCAN AYDIN,DEMIRCAN AYDIN,19
396,AU=ECE AYDIN,ECE AYDIN,35
397,AU=GUZELOGLU AYDIN,GUZELOGLU AYDIN,23
398,AU=KURNAZ AYDIN,KURNAZ AYDIN,7
399,AU=TEMIZER AYDIN,TEMIZER AYDIN,1
400,AU=ERTEKIN AYFER,ERTEKIN AYFER,5
401,AU=UDAK AYFER,UDAK AYFER,0
402,AU=DAGDELEN AYHAN,DAGDELEN AYHAN,7
403,AU=GUNEY AYHAN,GUNEY AYHAN,0
404,AU=KIRAZ AYHAN,KIRAZ AYHAN,2
405,AU=SELCUK AYHAN,SELCUK AYHAN,0
406,AU=SOGUT AYHAN,SOGUT AYHAN,33
407,AU=TERGIP AYHAN,TERGIP AYHAN,0
408,AU=USTA AYHAN,USTA AYHAN,26
409,AU=YILDIRIM AYHAN,YILDIRIM AYHAN,23
410,AU=CELIK AYHAN,CELIK AYHAN,32
411,AU=CINICI AYHAN,CINICI AYHAN,4
412,AU=DEMIRKOL AYHMET,DEMIRKOL AYHMET,0
413,AU=COBAN AYKUT,COBAN AYKUT,0
414,AU=OKUR AYLIN,OKUR AYLIN,53
415,AU=KIRBAS AYNUR,KIRBAS AYNUR,43
416,AU=OZUGURLU AYNUR,OZUGURLU AYNUR,0
417,AU=KADERLI AYSEL,KADERLI AYSEL,31
418,AU=KOCAEREN AYSEL,KOCAEREN AYSEL,6
419,AU=KURT AYSEL,KURT AYSEL,10
420,AU=TUNCA AYSEL,TUNCA AYSEL,1
421,AU=KARABULUT AYSUN,KARABULUT AYSUN,55
422,AU=TOKER AYSUN,TOKER AYSUN,56
423,AU=ALCELIK AYTEKIN,ALCELIK AYTEKIN,43
424,AU=DEMIRCIOGLU AYTEKIN,DEMIRCIOGLU AYTEKIN,2
425,AU=ERYILMAZ AYTEKIN,ERYILMAZ AYTEKIN,15
426,AU=POLAT AYTEKIN,POLAT AYTEKIN,10
427,AU=SIR AYTEKIN,SIR AYTEKIN,17
428,AU=YESILAY AYTEKIN,YESILAY AYTEKIN,2
429,AU=CIKMAN AYTEKIN,CIKMAN AYTEKIN,25
430,AU=DERINGOZ AYSE,DERINGOZ AYSE,0
431,AU=AYNALI AYSE,AYNALI AYSE,11
432,AU=BALKAN AYSE,BALKAN AYSE,0
433,AU=TEKINAY AYSE,TEKINAY AYSE,96
434,AU=BASTERZI AYSE,BASTERZI AYSE,9
435,AU=ALPKAYA AYSE,ALPKAYA AYSE,0
436,AU=YILGOR AYSE,YILGOR AYSE,0
437,AU=HOWISON AYSE,HOWISON AYSE,0
438,AU=KILINCASLAN AYSE,KILINCASLAN AYSE,24
439,AU=YEKSAN AYSE,YEKSAN AYSE,6
440,AU=GUNGOR AYSE,GUNGOR AYSE,35
441,AU=KORKMAZ AYSE,KORKMAZ AYSE,58
442,AU=SAGIROGLU AYSE,SAGIROGLU AYSE,9
443,AU=SEZGIN AYSE,SEZGIN AYSE,7
444,AU=KURT AYSE,KURT AYSE,12
445,AU=ULU AYSE,ULU AYSE,1
446,AU=YIGIT AYSE,YIGIT AYSE,19
447,AU=KIZILKAN AYSE,KIZILKAN AYSE,0
448,AU=SARAC AYSEGUL,SARAC AYSEGUL,14
449,AU=KALKAN AYSEGUL,KALKAN AYSEGUL,0
450,AU=TURKYILMAZ AYSEGUL,TURKYILMAZ AYSEGUL,30
451,AU=KURNAZ AYSEGUL,KURNAZ AYSEGUL,0
452,AU=AYSEUMUL AYSEUMUL,AYSEUMUL AYSEUMUL,0
453,AU=ULUDAG AYSEUL,ULUDAG AYSEUL,0
454,AU=ILBAY AZMI,ILBAY AZMI,1
455,AU=ILHAN AZIME,ILHAN AZIME,1
456,AU=ASAN AZIZ,ASAN AZIZ,0
457,AU=GUMUS AZIZ,GUMUS AZIZ,17
458,AU=HARMAN AZIZ,HARMAN AZIZ,6
459,AU=KILINC AZIZ,KILINC AZIZ,2
460,AU=MERHAN AZIZ,MERHAN AZIZ,2
461,AU=POLAT AZIZ,POLAT AZIZ,31
462,AU=TUNC AZIZ,TUNC AZIZ,3
463,AU=TURKOGLU AZIZ,TURKOGLU AZIZ,19
464,AU=ARTIS AISE,ARTIS AISE,1
465,AU=GENC ASIR,GENC ASIR,10
466,AU=ORENC ASIR,ORENC ASIR,0
467,AU=YILDIRIM ASKIN,YILDIRIM ASKIN,0
468,AU=SEKER ASKIN,SEKER ASKIN,43
469,AU=OZDEMIR ASUR,OZDEMIR ASUR,0
470,AU=GUNEY BAHA,GUNEY BAHA,0
471,AU=BOZOGLAN BAHADIR,BOZOGLAN BAHADIR,6
472,AU=KUMRAL BAHADIR,KUMRAL BAHADIR,16
473,AU=TANTAY BAHADIR,TANTAY BAHADIR,0
474,AU=ERDINC BAHATTIN,ERDINC BAHATTIN,13
475,AU=TUNC BAHATTIN,TUNC BAHATTIN,88
476,AU=ERMIS BAHRI,ERMIS BAHRI,15
477,AU=ARSLAN BAHRIYE,ARSLAN BAHRIYE,5
478,AU=DURSUN BAHTIYAR,DURSUN BAHTIYAR,19
